"plot","fam","sp","indiv","life.zone","sla","wd"
"plot.162","rubiaceae","pentagonia_subauriculata",4,"Tropical lower montane wet forest",49.7069800374907,1.34454836918336
"plot.162","fabaceae","dioclea_indet.2459",1,"Tropical lower montane wet forest",51.7293069187458,NA
"plot.162","clusiaceae","garcinia_intermedia",2,"Tropical lower montane wet forest",46.1821176578166,0.759174821037678
"plot.162","solanaceae","solanum_indet.4611",1,"Tropical lower montane wet forest",34.2498531962018,0.824900300319005
"plot.162","rubiaceae","palicourea_quadrifolia",1,"Tropical lower montane wet forest",27.8188218016618,0.694429216455407
"plot.162","fabaceae","cassia_indet.3863",1,"Tropical lower montane wet forest",37.2713032299139,1.1545889239242
"plot.162","boraginaceae","cordia_nodosa",1,"Tropical lower montane wet forest",NA,1.03316617157871
"plot.162","cunoniaceae","weinmannia_pinnata",8,"Tropical lower montane wet forest",42.504745017863,NA
"plot.162","rubiaceae","ladenbergia_indet.2069",1,"Tropical lower montane wet forest",10.3240903427342,0.515415574772543
"plot.162","burseraceae","protium_ravenii",2,"Tropical lower montane wet forest",10.4280614294093,1.09268601410052
"plot.162","bignoniaceae","arrabidaea_corallina",3,"Tropical lower montane wet forest",21.4984836401564,1.33258237955904
"plot.162","dilleniaceae","doliocarpus_indet.5694",1,"Tropical lower montane wet forest",33.8056763945738,0.700099318726517
"plot.162","melastomataceae","miconia_indet.1363",1,"Tropical lower montane wet forest",30.398512626056,0.804383667262227
"plot.162","lauraceae","persea_indet.630",6,"Tropical lower montane wet forest",14.7157782103072,0.262457116823987
"plot.162","myrtaceae","myrcia_indet.4042",1,"Tropical lower montane wet forest",23.6206671271457,0.658256790864781
"plot.162","melastomataceae","topobea_indet.1669",1,"Tropical lower montane wet forest",15.6399726007066,0.998921438070742
"plot.162","euphorbiaceae","croton_schiedeanus",2,"Tropical lower montane wet forest",29.1804020196997,0.495872360013378
"plot.162","marcgraviaceae","marcgravia_indet.3960",1,"Tropical lower montane wet forest",19.5378614428591,0.945249063789759
"plot.162","asteraceae","mikania_indet.6966",1,"Tropical lower montane wet forest",30.4051343941141,1.33859659160069
"plot.162","symplocaceae","symplocos_indet.4262",4,"Tropical lower montane wet forest",25.3238083888256,NA
